                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    154,                0.51498,                0.44613,                 1.0765,                0.93909,                0.94444,                0.96738,                0.72842,                0.95936,                 0.5589,                 1.6808,              0.0009902,              0.0009902,              0.0009902
                    155,                0.50372,                0.43218,                 1.0716,                      1,                 0.8718,                0.96503,                 0.7228,                0.99243,                0.66176,                 1.6761,              0.0009836,              0.0009836,              0.0009836
                    156,                0.49691,                0.43039,                 1.0692,                0.93849,                0.94444,                0.98258,                0.71316,                0.95006,                0.57698,                 1.5476,               0.000977,               0.000977,               0.000977
                    157,                0.51365,                0.45438,                 1.0831,                 0.8972,                      1,                0.98667,                0.75077,                0.90771,                0.55127,                 1.5011,              0.0009704,              0.0009704,              0.0009704
                    158,                0.49033,                 0.4132,                 1.0529,                0.89692,                      1,                0.98667,                0.76268,                0.90333,                0.55447,                 1.5063,              0.0009638,              0.0009638,              0.0009638
                    159,                0.50347,                0.42789,                 1.0864,                0.94689,                0.99093,                0.98921,                0.75787,                0.86148,                0.57835,                 1.4481,              0.0009572,              0.0009572,              0.0009572
                    160,                0.47348,                0.43049,                 1.0654,                0.94711,                0.99511,                0.98921,                0.77568,                0.85677,                 0.6119,                 1.4051,              0.0009506,              0.0009506,              0.0009506
                    161,                0.47625,                 0.4131,                 1.0557,                0.94035,                0.94444,                0.98452,                0.74639,                0.90338,                0.65648,                 1.4289,               0.000944,               0.000944,               0.000944
                    162,                0.48409,                0.42882,                 1.0864,                0.99584,                0.94444,                0.98591,                0.75123,                0.95172,                0.61317,                 1.4553,              0.0009374,              0.0009374,              0.0009374
                    163,                0.47594,                0.41619,                  1.032,                0.99721,                0.94444,                0.96457,                0.76007,                0.84499,                0.55366,                 1.3945,              0.0009308,              0.0009308,              0.0009308
                    164,                0.50294,                0.41268,                 1.0599,                0.98937,                0.94444,                0.96932,                0.77293,                0.80614,                0.61481,                 1.3571,              0.0009242,              0.0009242,              0.0009242
                    165,                 0.4347,                0.39683,                 1.0018,                0.99612,                0.94444,                0.97227,                 0.7573,                0.86633,                  0.608,                  1.459,              0.0009176,              0.0009176,              0.0009176
                    166,                0.43971,                0.41989,                 1.0423,                0.99714,                0.94444,                 0.9825,                0.74004,                0.91885,                0.59485,                 1.5402,               0.000911,               0.000911,               0.000911
                    167,                0.44456,                0.39659,                 1.0369,                0.99646,                0.94444,                0.97962,                0.75926,                0.92573,                0.59384,                 1.5225,              0.0009044,              0.0009044,              0.0009044
                    168,                0.47206,                0.39663,                  1.044,                      1,                0.94273,                0.96231,                0.74873,                0.94948,                0.62761,                 1.5312,              0.0008978,              0.0008978,              0.0008978
                    169,                0.48421,                0.41411,                 1.0536,                      1,                0.93939,                0.95639,                 0.7292,                 0.8966,                0.61921,                 1.5217,              0.0008912,              0.0008912,              0.0008912
                    170,                0.44687,                 0.3933,                 1.0451,                0.98603,                0.88889,                0.94314,                0.73893,                0.86755,                 0.6842,                 1.4867,              0.0008846,              0.0008846,              0.0008846
                    171,                0.50383,                0.43869,                 1.0768,                      1,                0.88083,                 0.9647,                0.71428,                0.94643,                0.70844,                 1.5321,               0.000878,               0.000878,               0.000878
                    172,                0.49484,                0.44158,                 1.0491,                0.89885,                0.98782,                  0.984,                0.73267,                  1.028,                0.55072,                 1.6316,              0.0008714,              0.0008714,              0.0008714
                    173,                0.43551,                0.35344,                  1.007,                      1,                0.94251,                0.99237,                0.76623,                0.95385,                0.54133,                  1.629,              0.0008648,              0.0008648,              0.0008648
                    174,                0.47442,                0.38715,                 1.0675,                0.98435,                0.94444,                0.97603,                 0.7747,                0.99724,                0.58561,                 1.7114,              0.0008582,              0.0008582,              0.0008582
                    175,                 0.4945,                0.41381,                 1.0761,                0.98624,                0.94444,                0.96457,                0.70168,                 1.0626,                0.64881,                 1.8214,              0.0008516,              0.0008516,              0.0008516
                    176,                 0.4559,                0.37842,                  1.052,                0.93658,                0.94444,                 0.9498,                0.68494,                 1.0775,                0.67461,                 1.8535,               0.000845,               0.000845,               0.000845
                    177,                0.48695,                0.42532,                 1.0826,                0.93468,                0.94444,                0.96889,                0.69646,                 1.0829,                0.63116,                 1.8632,              0.0008384,              0.0008384,              0.0008384
                    178,                0.47783,                0.41184,                 1.0524,                0.97787,                0.94444,                 0.9825,                0.70623,                 1.0512,                0.59842,                 1.7804,              0.0008318,              0.0008318,              0.0008318
                    179,                0.45192,                0.39587,                  1.036,                0.93748,                0.94444,                0.98258,                0.73255,                0.94621,                0.62198,                  1.668,              0.0008252,              0.0008252,              0.0008252
                    180,                0.44733,                0.38125,                 1.0273,                0.94077,                0.88889,                0.97202,                 0.7507,                0.91009,                0.62912,                 1.6792,              0.0008186,              0.0008186,              0.0008186
                    181,                0.50289,                0.41981,                 1.0705,                0.94413,                0.93912,                0.95548,                0.73194,                0.94381,                0.55067,                 1.7074,               0.000812,               0.000812,               0.000812
                    182,                0.44313,                0.34979,                 1.0184,                0.93918,                0.94444,                0.96083,                0.73669,                0.95219,                0.56845,                 1.6522,              0.0008054,              0.0008054,              0.0008054
                    183,                0.44123,                0.36891,                 1.0068,                0.92805,                0.94444,                0.94833,                0.70697,                0.97443,                 0.6806,                 1.6448,              0.0007988,              0.0007988,              0.0007988
                    184,                0.47599,                0.39551,                 1.0468,                0.93296,                0.94444,                0.96368,                0.69538,                 1.1032,                0.70207,                 1.7686,              0.0007922,              0.0007922,              0.0007922
                    185,                 0.4508,                0.37658,                 1.0278,                0.98792,                0.94444,                0.98413,                0.69828,                 1.1317,                0.63848,                 1.8044,              0.0007856,              0.0007856,              0.0007856
                    186,                0.42486,                0.35546,                 1.0176,                0.89925,                0.99209,                0.98667,                0.72072,                  1.071,                0.58281,                 1.7201,               0.000779,               0.000779,               0.000779
                    187,                0.42117,                0.37287,                 1.0089,                0.98778,                0.88889,                0.97929,                0.75017,                0.97872,                0.61753,                 1.6551,              0.0007724,              0.0007724,              0.0007724
                    188,                0.46503,                0.37606,                  1.054,                0.99547,                0.88889,                0.97691,                0.73815,                0.94906,                0.68979,                 1.5687,              0.0007658,              0.0007658,              0.0007658
                    189,                0.48727,                 0.3828,                 1.0754,                0.99096,                0.88889,                0.97691,                0.77421,                0.84736,                0.66194,                 1.4493,              0.0007592,              0.0007592,              0.0007592
                    190,                 0.4283,                0.35561,                 1.0091,                0.99465,                0.88889,                0.97929,                0.77944,                    0.8,                0.62422,                 1.4085,              0.0007526,              0.0007526,              0.0007526
                    191,                0.39614,                0.34887,                0.99759,                0.93087,                0.88889,                0.95809,                0.79029,                0.78053,                0.59215,                 1.4078,               0.000746,               0.000746,               0.000746
                    192,                0.45719,                0.38771,                  1.034,                0.93248,                0.88889,                0.94912,                0.75937,                0.78388,                0.62503,                 1.3933,              0.0007394,              0.0007394,              0.0007394
                    193,                0.44171,                0.37564,                 1.0154,                0.93246,                0.88889,                0.93832,                0.75513,                 0.8178,                0.60908,                 1.4205,              0.0007328,              0.0007328,              0.0007328
                    194,                0.43152,                0.37501,                 1.0417,                0.89313,                0.94444,                 0.9588,                0.76217,                0.87278,                0.60255,                 1.5313,              0.0007262,              0.0007262,              0.0007262
                    195,                0.46429,                0.35456,                 1.0478,                0.94429,                0.94177,                  0.975,                 0.7918,                0.88416,                0.59187,                 1.5496,              0.0007196,              0.0007196,              0.0007196
                    196,                 0.4277,                0.43748,                 1.0178,                0.93841,                0.84715,                0.97219,                0.77729,                0.86649,                 0.5839,                 1.5014,               0.000713,               0.000713,               0.000713
                    197,                0.39416,                0.32433,                0.99326,                 0.9443,                0.94192,                0.97017,                0.77157,                0.85954,                0.59716,                 1.4813,              0.0007064,              0.0007064,              0.0007064
                    198,                0.46231,                0.37367,                 1.0477,                0.93857,                0.94444,                 0.9677,                0.75596,                0.86501,                 0.5617,                 1.4813,              0.0006998,              0.0006998,              0.0006998
                    199,                0.43713,                0.36257,                 1.0131,                0.93573,                0.94444,                0.97167,                 0.7616,                0.86694,                0.56945,                 1.4623,              0.0006932,              0.0006932,              0.0006932
                    200,                0.41882,                0.33851,                 1.0244,                0.93431,                0.94444,                0.95238,                0.74286,                0.92926,                0.61293,                 1.5525,              0.0006866,              0.0006866,              0.0006866
                    201,                 0.4344,                0.36891,                 1.0078,                0.93839,                0.94444,                0.95099,                0.72882,                0.89846,                0.63583,                 1.6114,                0.00068,                0.00068,                0.00068
                    202,                0.44143,                0.35239,                 1.0159,                0.98712,                0.94444,                0.97714,                0.72581,                  0.855,                0.61319,                 1.5856,              0.0006734,              0.0006734,              0.0006734
                    203,                 0.4303,                0.36224,                 1.0215,                      1,                0.93113,                0.97603,                0.74089,                0.79164,                0.63938,                 1.4893,              0.0006668,              0.0006668,              0.0006668
                    204,                0.42329,                0.37137,                 1.0419,                0.93822,                0.94444,                0.93821,                0.72458,                0.82125,                0.61149,                 1.4987,              0.0006602,              0.0006602,              0.0006602
                    205,                0.44879,                0.37875,                  1.043,                0.91933,                0.94444,                0.95848,                0.77694,                0.77117,                0.59604,                  1.462,              0.0006536,              0.0006536,              0.0006536
                    206,                0.41933,                0.34262,                 1.0055,                0.94119,                0.88906,                 0.9727,                0.76055,                0.81211,                0.62032,                 1.4829,               0.000647,               0.000647,               0.000647
                    207,                0.43256,                0.34904,                 1.0183,                0.97009,                0.94444,                0.97227,                0.75071,                0.89936,                0.62145,                 1.5856,              0.0006404,              0.0006404,              0.0006404
                    208,                0.44784,                0.37471,                  1.055,                0.93265,                0.94444,                 0.9707,                0.73055,                0.92387,                0.62687,                   1.58,              0.0006338,              0.0006338,              0.0006338
                    209,                0.45903,                0.44535,                 1.0168,                      1,                0.88717,                0.96808,                 0.7438,                0.92128,                0.56222,                 1.6254,              0.0006272,              0.0006272,              0.0006272
                    210,                 0.3848,                0.37226,                0.99128,                0.99399,                0.94444,                   0.97,                0.77548,                0.94541,                0.54717,                 1.6524,              0.0006206,              0.0006206,              0.0006206
                    211,                0.40798,                0.34229,                0.98903,                      1,                0.92837,                0.97312,                0.75683,                0.88151,                0.55989,                 1.5513,               0.000614,               0.000614,               0.000614
                    212,                0.38447,                0.35921,                 1.0119,                0.99355,                0.94444,                0.97403,                0.76291,                0.87462,                0.58719,                 1.5495,              0.0006074,              0.0006074,              0.0006074
                    213,                0.42379,                0.33087,                 1.0175,                0.94099,                0.94444,                 0.9727,                0.76281,                0.91516,                0.59339,                 1.6034,              0.0006008,              0.0006008,              0.0006008
                    214,                0.37801,                0.30907,                0.97739,                0.94239,                0.94444,                0.96889,                0.72434,                 0.9756,                0.64119,                 1.6697,              0.0005942,              0.0005942,              0.0005942
                    215,                0.40189,                0.36982,                 1.0189,                      1,                0.94255,                   0.99,                0.72682,                 1.0166,                0.61375,                 1.7113,              0.0005876,              0.0005876,              0.0005876
                    216,                0.37213,                 0.3255,                 0.9963,                      1,                0.94374,                 0.9825,                0.76082,                 1.0114,                0.57149,                 1.6947,               0.000581,               0.000581,               0.000581
                    217,                0.43441,                0.38053,                 1.0181,                      1,                0.94403,                0.97833,                0.75025,                 1.0307,                0.55509,                 1.7158,              0.0005744,              0.0005744,              0.0005744
                    218,                0.42349,                0.35238,                 1.0282,                0.93757,                0.94444,                  0.975,                0.72378,                 1.0342,                0.58588,                 1.7415,              0.0005678,              0.0005678,              0.0005678
                    219,                0.40139,                0.35219,                0.99912,                0.94423,                0.94072,                0.96894,                 0.6982,                 1.0379,                0.64795,                 1.7864,              0.0005612,              0.0005612,              0.0005612
                    220,                0.36834,                0.31628,                0.97889,                0.88589,                0.88889,                0.94097,                 0.7082,                 1.0245,                0.68193,                 1.7587,              0.0005546,              0.0005546,              0.0005546
                    221,                0.40027,                0.35148,                 1.0223,                0.88586,                0.88889,                0.93743,                0.69476,                 1.0204,                0.73741,                 1.7349,               0.000548,               0.000548,               0.000548
                    222,                 0.4108,                0.34726,                 1.0076,                0.93591,                0.88889,                0.92092,                0.70552,                   1.01,                0.72054,                 1.7077,              0.0005414,              0.0005414,              0.0005414
                    223,                0.38449,                0.30936,                0.98159,                0.93785,                0.88889,                0.92419,                0.71531,                0.96074,                0.76057,                 1.6506,              0.0005348,              0.0005348,              0.0005348
                    224,                0.39512,                 0.3352,                 1.0086,                0.93736,                0.88889,                0.93247,                0.73608,                0.91928,                0.72432,                  1.582,              0.0005282,              0.0005282,              0.0005282
                    225,                0.38693,                0.33222,                0.98477,                 0.8943,                 0.9403,                 0.9438,                0.73357,                0.89036,                0.69719,                 1.5251,              0.0005216,              0.0005216,              0.0005216
                    226,                 0.3988,                0.32015,                 1.0023,                0.99196,                0.88889,                 0.9733,                0.76206,                0.87605,                0.61051,                 1.5177,               0.000515,               0.000515,               0.000515
                    227,                0.35133,                 0.3236,                0.98281,                      1,                0.92788,                0.98413,                0.78589,                0.89016,                0.52551,                 1.6396,              0.0005084,              0.0005084,              0.0005084
                    228,                0.38642,                0.34281,                0.99473,                0.98675,                0.94444,                0.98786,                0.77939,                0.85641,                0.56131,                 1.6364,              0.0005018,              0.0005018,              0.0005018
                    229,                0.38971,                0.34304,                 1.0028,                 0.9435,                 0.9284,                0.98175,                0.76295,                   0.89,                0.55514,                  1.688,              0.0004952,              0.0004952,              0.0004952
                    230,                0.36806,                0.34714,                0.98204,                0.93075,                0.94444,                0.97369,                0.77893,                0.86074,                0.55835,                  1.661,              0.0004886,              0.0004886,              0.0004886
                    231,                0.37067,                0.31188,                 1.0013,                0.94403,                0.93743,                0.97802,                0.78537,                0.85332,                0.54673,                  1.647,               0.000482,               0.000482,               0.000482
                    232,                0.37722,                0.31655,                0.98772,                      1,                0.88302,                0.97618,                 0.7629,                0.87771,                0.50178,                 1.6972,              0.0004754,              0.0004754,              0.0004754
                    233,                 0.3819,                0.33852,                 1.0068,                0.99728,                0.94444,                 0.9825,                0.76981,                 0.9241,                0.49593,                 1.7255,              0.0004688,              0.0004688,              0.0004688
                    234,                0.35143,                 0.3202,                0.97941,                0.93214,                0.94444,                  0.975,                0.77269,                0.94882,                0.51868,                 1.7452,              0.0004622,              0.0004622,              0.0004622
                    235,                0.40053,                0.30817,                0.99608,                0.98633,                0.94444,                  0.981,                0.76668,                0.96004,                0.51956,                 1.7703,              0.0004556,              0.0004556,              0.0004556
                    236,                0.34358,                0.30948,                0.98488,                0.99399,                0.94444,                0.97833,                0.74916,                 0.9609,                0.48166,                  1.822,               0.000449,               0.000449,               0.000449
                    237,                0.38539,                0.34026,                0.99448,                0.99562,                0.94444,                 0.9825,                0.76785,                0.94632,                0.46863,                 1.8262,              0.0004424,              0.0004424,              0.0004424
                    238,                0.38194,                0.35135,                 1.0089,                0.99605,                0.94444,                0.98591,                 0.7893,                0.92624,                 0.4693,                 1.8009,              0.0004358,              0.0004358,              0.0004358
                    239,                0.35233,                0.30514,                0.97144,                0.99986,                0.94444,                0.98786,                0.78387,                0.90644,                0.50211,                 1.7268,              0.0004292,              0.0004292,              0.0004292
                    240,                0.37816,                0.33393,                 1.0039,                0.99576,                0.94444,                 0.9825,                0.78422,                0.89824,                0.54237,                 1.6766,              0.0004226,              0.0004226,              0.0004226
                    241,                0.38141,                0.35846,                0.97726,                0.99528,                0.94444,                0.96932,                0.76674,                0.88682,                0.51231,                 1.6922,               0.000416,               0.000416,               0.000416
                    242,                0.34579,                0.31476,                0.96826,                0.99466,                0.94444,                0.98786,                0.76641,                0.89253,                 0.4999,                 1.6467,              0.0004094,              0.0004094,              0.0004094
                    243,                0.38969,                0.31234,                0.99089,                0.99634,                0.94444,                0.99237,                0.77458,                0.90431,                 0.4791,                 1.6141,              0.0004028,              0.0004028,              0.0004028
                    244,                0.34038,                0.28091,                 0.9432,                      1,                0.93947,                0.97714,                0.74746,                0.89418,                0.55788,                  1.579,              0.0003962,              0.0003962,              0.0003962
                    245,                0.35934,                0.33231,                0.98912,                0.94193,                0.94444,                0.94608,                0.72712,                0.89769,                0.59958,                  1.593,              0.0003896,              0.0003896,              0.0003896
                    246,                0.33975,                0.29895,                0.94046,                0.94186,                0.94444,                0.94588,                0.72031,                0.91809,                0.59381,                 1.6296,               0.000383,               0.000383,               0.000383
                    247,                0.36305,                0.32124,                0.99902,                0.94165,                0.94444,                0.95889,                0.72782,                0.93921,                0.58386,                 1.6689,              0.0003764,              0.0003764,              0.0003764
                    248,                0.35635,                0.30608,                0.98467,                0.94119,                0.94444,                0.96212,                0.75736,                0.94401,                0.59989,                 1.6676,              0.0003698,              0.0003698,              0.0003698
                    249,                0.36582,                0.30591,                0.99457,                0.93458,                0.94444,                0.95897,                0.73454,                0.95233,                0.63906,                 1.6498,              0.0003632,              0.0003632,              0.0003632
                    250,                 0.3476,                0.30475,                0.96272,                0.93967,                0.94444,                  0.947,                0.72635,                0.95629,                0.64274,                 1.6415,              0.0003566,              0.0003566,              0.0003566
                    251,                0.35657,                0.31289,                0.96598,                0.89256,                0.94444,                0.94184,                0.73991,                0.94532,                0.66073,                   1.65,                0.00035,                0.00035,                0.00035
                    252,                 0.3586,                0.30891,                0.97168,                0.90015,                0.94444,                0.95377,                0.74962,                0.91743,                0.61268,                 1.6232,              0.0003434,              0.0003434,              0.0003434
                    253,                0.35529,                 0.3086,                0.98208,                0.98664,                0.94444,                0.97227,                 0.7587,                0.91057,                0.58204,                   1.59,              0.0003368,              0.0003368,              0.0003368
                    254,                0.35774,                0.33258,                0.98855,                0.98935,                0.94444,                0.96695,                0.76187,                0.91535,                0.57469,                 1.5924,              0.0003302,              0.0003302,              0.0003302
                    255,                0.38351,                0.31764,                 1.0045,                0.99467,                0.94444,                0.96545,                0.76553,                0.92532,                0.58195,                 1.5909,              0.0003236,              0.0003236,              0.0003236
                    256,                 0.3214,                0.28737,                0.98134,                0.98696,                0.94444,                0.96868,                 0.7615,                0.91773,                0.60292,                 1.5698,               0.000317,               0.000317,               0.000317
                    257,                0.32179,                0.29276,                0.94318,                0.99223,                0.94444,                0.96868,                0.76969,                0.90179,                0.59231,                 1.5495,              0.0003104,              0.0003104,              0.0003104
                    258,                0.35749,                0.31396,                0.97519,                0.99323,                0.94444,                0.96643,                0.77121,                0.90274,                0.57842,                 1.5946,              0.0003038,              0.0003038,              0.0003038
                    259,                0.32083,                0.30287,                0.94379,                 0.9679,                0.94444,                  0.954,                0.76887,                0.91405,                0.59086,                 1.6498,              0.0002972,              0.0002972,              0.0002972
                    260,                 0.3271,                0.28037,                0.95072,                0.94165,                0.94444,                 0.9425,                0.75936,                0.90272,                0.56357,                 1.6299,              0.0002906,              0.0002906,              0.0002906
                    261,                0.32895,                0.28009,                0.96758,                0.94195,                0.94444,                 0.9575,                0.77865,                0.86829,                0.51305,                 1.6078,               0.000284,               0.000284,               0.000284
                    262,                0.38178,                0.31632,                0.98099,                0.94199,                0.94444,                 0.9658,                0.77667,                0.85551,                0.51536,                 1.6197,              0.0002774,              0.0002774,              0.0002774
                    263,                0.33883,                0.29466,                0.97258,                0.94174,                0.94444,                0.97802,                 0.7884,                0.86149,                0.52075,                 1.6222,              0.0002708,              0.0002708,              0.0002708
                    264,                0.34251,                0.30193,                0.96281,                0.99668,                0.94444,                0.97603,                0.78434,                 0.8765,                 0.5244,                 1.6369,              0.0002642,              0.0002642,              0.0002642
                    265,                0.33758,                0.28362,                0.96563,                0.99659,                0.94444,                0.97227,                0.76967,                 0.8713,                0.50597,                 1.6178,              0.0002576,              0.0002576,              0.0002576
                    266,                0.32735,                0.31728,                0.95196,                0.99757,                0.94444,                0.98413,                0.77447,                0.86021,                0.49873,                 1.5931,               0.000251,               0.000251,               0.000251
                    267,                0.38352,                0.31661,                 1.0263,                0.94291,                0.94444,                0.97369,                0.79049,                0.85344,                 0.5037,                 1.5573,              0.0002444,              0.0002444,              0.0002444
                    268,                0.36745,                0.31513,                0.98839,                0.94314,                0.94444,                0.96857,                0.78854,                0.86301,                0.48697,                 1.5741,              0.0002378,              0.0002378,              0.0002378
                    269,                0.33532,                0.28586,                 0.9645,                0.94216,                0.94444,                 0.9808,                0.79039,                0.86446,                0.46856,                 1.5845,              0.0002312,              0.0002312,              0.0002312
                    270,                0.34971,                0.31224,                0.96574,                0.94167,                0.94444,                0.97917,                0.78517,                0.84341,                0.47113,                 1.5569,              0.0002246,              0.0002246,              0.0002246
                    271,                0.33209,                 0.2781,                  0.951,                0.99819,                0.94444,                0.98591,                0.78697,                0.83357,                0.48094,                 1.5446,               0.000218,               0.000218,               0.000218
                    272,                0.34593,                0.28955,                0.97221,                0.99834,                0.94444,                0.98591,                0.80587,                0.83646,                0.48543,                 1.5511,              0.0002114,              0.0002114,              0.0002114
                    273,                0.32367,                0.28867,                0.94073,                0.99808,                0.94444,                0.98591,                0.79726,                0.85198,                0.48409,                 1.5748,              0.0002048,              0.0002048,              0.0002048
                    274,                0.33065,                0.29062,                0.98548,                      1,                 0.9432,                   0.99,                0.80271,                0.85598,                0.49509,                 1.6038,              0.0001982,              0.0001982,              0.0001982
                    275,                 0.2885,                0.26513,                  0.949,                0.99679,                0.94444,                0.98786,                0.78446,                0.88603,                0.49763,                 1.6751,              0.0001916,              0.0001916,              0.0001916
                    276,                0.32274,                0.26996,                0.95742,                0.98553,                0.94444,                0.98786,                0.78775,                 0.8866,                0.50055,                 1.7026,               0.000185,               0.000185,               0.000185
                    277,                0.32808,                0.30138,                0.95939,                0.98981,                0.94444,                0.98786,                0.79206,                0.89037,                0.49137,                 1.7001,              0.0001784,              0.0001784,              0.0001784
                    278,                0.30234,                0.33204,                 0.9739,                      1,                0.99648,                  0.995,                0.78644,                0.88384,                0.46829,                 1.6549,              0.0001718,              0.0001718,              0.0001718
                    279,                0.35557,                 0.3134,                0.99568,                      1,                0.99621,                  0.995,                0.79259,                0.89276,                0.45173,                 1.6231,              0.0001652,              0.0001652,              0.0001652
                    280,                0.33849,                0.31342,                0.99475,                      1,                0.99593,                  0.995,                0.80716,                0.88402,                 0.4435,                 1.6008,              0.0001586,              0.0001586,              0.0001586
                    281,                0.32903,                0.28133,                0.98103,                0.99675,                0.94444,                0.99237,                0.82364,                0.86268,                0.42656,                 1.5683,               0.000152,               0.000152,               0.000152
                    282,                0.32626,                 0.3112,                0.97544,                0.99682,                0.94444,                0.99237,                0.82416,                0.86162,                0.42333,                  1.569,              0.0001454,              0.0001454,              0.0001454
                    283,                0.29879,                0.24491,                0.95872,                 0.9967,                0.94444,                0.99237,                0.81744,                0.88241,                0.44339,                 1.5805,              0.0001388,              0.0001388,              0.0001388
                    284,                0.31358,                 0.2837,                0.95826,                  0.997,                0.94444,                0.99237,                0.81091,                 0.8928,                0.46191,                 1.5866,              0.0001322,              0.0001322,              0.0001322
                    285,                0.30609,                0.25251,                0.96148,                0.99692,                0.94444,                0.99237,                0.78858,                0.90616,                 0.4775,                 1.5899,              0.0001256,              0.0001256,              0.0001256
                    286,                0.32974,                0.29059,                0.96311,                0.99729,                0.94444,                0.99237,                 0.7798,                 0.9226,                0.48254,                 1.6146,               0.000119,               0.000119,               0.000119
                    287,                0.31799,                0.29706,                0.97508,                0.99613,                0.94444,                0.98786,                0.77285,                0.92352,                0.48118,                 1.6074,              0.0001124,              0.0001124,              0.0001124
                    288,                0.34363,                 0.2963,                0.97762,                0.99566,                0.94444,                0.98786,                0.78287,                0.92015,                0.47376,                 1.6047,              0.0001058,              0.0001058,              0.0001058
                    289,                0.29238,                 0.2679,                0.93262,                0.99553,                0.94444,                0.98786,                0.79166,                0.90293,                0.47799,                 1.5945,               9.92e-05,               9.92e-05,               9.92e-05
                    290,                0.29694,                0.26696,                0.95329,                0.99696,                0.94444,                0.98786,                0.79432,                0.89327,                0.47603,                 1.5926,               9.26e-05,               9.26e-05,               9.26e-05
                    291,                0.23415,                0.31638,                0.91042,                0.94046,                0.94444,                0.96619,                0.76932,                0.89926,                0.51264,                 1.5746,                8.6e-05,                8.6e-05,                8.6e-05
                    292,                0.23485,                0.25678,                0.88567,                0.93876,                0.94444,                0.95913,                0.74947,                0.89401,                0.56215,                 1.5645,               7.94e-05,               7.94e-05,               7.94e-05
                    293,                0.25197,                0.24144,                0.89108,                0.93656,                0.94444,                0.95913,                 0.7349,                0.88918,                0.58645,                 1.5652,               7.28e-05,               7.28e-05,               7.28e-05
                    294,                0.22448,                0.22676,                0.89188,                0.93626,                0.94444,                0.95913,                0.72281,                0.87124,                0.58501,                 1.5401,               6.62e-05,               6.62e-05,               6.62e-05
                    295,                0.20523,                0.20989,                  0.864,                0.93683,                0.94444,                0.95913,                 0.7288,                0.86314,                0.58381,                 1.5348,               5.96e-05,               5.96e-05,               5.96e-05
                    296,                0.28519,                0.24374,                0.98962,                0.93968,                0.94444,                0.98591,                0.76509,                0.85164,                0.53844,                 1.5223,                5.3e-05,                5.3e-05,                5.3e-05
                    297,                0.22207,                0.20401,                0.88878,                0.99479,                0.94444,                0.98413,                0.76398,                0.84643,                0.51797,                 1.5188,               4.64e-05,               4.64e-05,               4.64e-05
                    298,                0.26576,                0.22299,                0.92439,                0.99468,                0.94444,                0.98591,                0.76522,                0.84628,                0.50081,                 1.5224,               3.98e-05,               3.98e-05,               3.98e-05
                    299,                0.29466,                0.25209,                0.92677,                0.99539,                0.94444,                0.98413,                0.76063,                 0.8572,                0.50577,                 1.5428,               3.32e-05,               3.32e-05,               3.32e-05
                    300,                0.22128,                0.19875,                0.89129,                0.99554,                0.94444,                0.98413,                 0.7669,                0.86452,                0.51223,                 1.5428,               2.66e-05,               2.66e-05,               2.66e-05
